City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fairbanks,US,64.8378,-147.7164,26.01,33,1,9.22,clear sky
1,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,5.75,clear sky
2,Boffa,GN,10.1667,-14.0333,77.32,83,56,6.44,broken clouds
3,Lompoc,US,34.6391,-120.4579,64.0,63,86,18.41,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,78.35,74,8,8.57,light rain
5,Albany,US,42.6001,-73.9662,64.99,67,100,10.63,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,80.6,74,40,9.22,scattered clouds
7,Georgetown,MY,5.4112,100.3354,81.0,94,40,3.44,scattered clouds
8,Punta Arenas,CL,-53.15,-70.9167,57.2,38,0,10.36,clear sky
9,Digoin,FR,46.4812,3.9795,41.0,93,90,11.5,overcast clouds
10,Egvekinot,RU,66.3167,-179.1667,-6.39,81,100,20.6,overcast clouds
11,Leningradskiy,RU,69.3833,178.4167,-8.25,87,10,5.23,clear sky
12,Manta,EC,-0.95,-80.7333,84.2,70,75,9.22,broken clouds
13,Vaini,TO,-21.2,-175.2,80.6,69,20,5.75,few clouds
14,Hermanus,ZA,-34.4187,19.2345,64.99,79,100,5.01,overcast clouds
15,Hithadhoo,MV,-0.6,73.0833,82.67,75,94,11.01,overcast clouds
16,Rosarito,MX,32.3333,-117.0333,66.2,68,90,8.05,overcast clouds
17,Idritsa,RU,56.3316,28.8988,45.03,89,85,6.35,overcast clouds
18,Victoria,HK,22.2855,114.1577,73.0,85,93,8.84,overcast clouds
19,Kichera,RU,55.9375,110.0997,8.22,79,38,3.78,scattered clouds
20,Caucaia,BR,-3.7361,-38.6531,80.01,89,20,4.61,few clouds
21,Pangkalanbuun,ID,-2.6833,111.6167,75.22,98,99,0.43,overcast clouds
22,Kaitangata,NZ,-46.2817,169.8464,53.11,95,38,3.89,scattered clouds
23,Atuona,PF,-9.8,-139.0333,80.71,76,19,17.43,few clouds
24,Upernavik,GL,72.7868,-56.1549,30.99,76,100,17.98,light snow
25,Cherskiy,RU,68.75,161.3,-18.18,99,100,3.85,overcast clouds
26,Hamilton,US,39.1834,-84.5333,53.6,82,90,13.8,overcast clouds
27,Bandarbeyla,SO,9.4942,50.8122,79.07,70,8,7.34,clear sky
28,Goderich,CA,43.7501,-81.7165,59.0,72,91,2.3,overcast clouds
29,Tongliao,CN,43.6125,122.2653,49.71,52,9,21.99,clear sky
30,Jamestown,US,42.097,-79.2353,64.4,52,40,4.61,scattered clouds
31,Pokrovskoye,RU,47.4157,38.8971,46.99,100,100,11.01,overcast clouds
32,Marienburg,PL,54.0359,19.0266,55.99,55,100,12.26,overcast clouds
